Tract_No,Composite_Score_AIRBNB,Bachelors Deg or Higher(for 25-64),Foreign Born_All,Median Gross Rent,Median House Price,Percentage Unemployed,Median household income (dollars),HH Below Poverty Levels,Percentage Rent-burdened,Percentage Rent-overburdened,BART_Distances
Census Tract 4502,1,55.7,26.4,1826,532800,3.5,94844,4.1,70.4,20.6,1.167383425
Census Tract 4503,5,46.9,17.9,2214,539600,3.3,102750,3.2,30,12.9,1.167383425
Census Tract 3240.02,5,44.5,20.2,1432,427300,3.6,67127,2.2,65.8,24.8,1.167383425
Census Tract 3200.04,3,37.4,16.9,1629,394500,3.5,86343,3.3,38.8,20.3,1.167383425
Census Tract 3382.03,3,69.5,22.9,1608,433100,4.4,87015,0,40.7,21.1,1.167383425
Census Tract 3382.04,0.5,65.4,25.9,1832,457400,3.6,94109,2.2,35.3,13.4,1.167383425
Census Tract 3451.12,1,66.7,39.5,1799,870800,6,111738,1.2,70.9,16.6,1.167383425
Census Tract 3551.14,1,70.3,34.9,2435,896200,1.9,160477,2.2,31.3,17.9,1.167383425
Census Tract 4506.03,0.5,50.6,22.6,2395,640300,4.5,119625,1.4,17,3.8,1.167383425
Census Tract 4043,17.5,81.5,13.6,1627,1082500,3.7,178385,0,5.1,1.4,1.167383425
Census Tract 1090.02,77.5,66.5,10.9,1435,838700,4.3,97083,4,35.2,13.1,1.094740883
Census Tract 1302.01,64.5,68.7,10.4,2140,1495100,3,131771,1.1,41.4,18.4,1.038118335
Census Tract 1302.02,73.5,75,14.3,1912,818000,5.3,113224,4.9,60.7,28.4,1.016123009
Census Tract 1311,11.5,62,7.7,1786,1211100,0.5,121563,0.8,3.6,0.6,0.765723976
Census Tract 6020,5,31.9,42.2,1618,639100,3.3,91286,3.5,23.7,6.9,0.728133716
Census Tract 6059,101,44.5,44.8,1432,672100,6.1,79627,5.2,75.1,38.9,0.887628548
Census Tract 4505.02,1,61.8,16.3,2217,745700,5,142037,0.3,9.7,1.9,0.743755659
Census Tract 4507.51,3.5,79,45.4,3234,839400,3.2,179148,2.3,5.6,0.9,0.743755659
Census Tract 4507.52,1,56.3,45.1,1974,897900,1.1,168616,0,8.4,4.3,0.743755659
Census Tract 4515.04,1,36.6,14.5,2309,506800,1.6,105250,1.4,5.2,1.7,0.743755659
Census Tract 4301.01,0.5,56.3,31.9,2533,668400,6.2,129203,4.4,11.4,9.7,0.743755659
Census Tract 3071.02,0.5,5.5,27.2,1280,154300,7.6,42669,25.7,74.4,43.4,0.743755659
Census Tract 3310,3.5,31.9,19.6,1328,380000,6.7,68396,11,59,33,0.743755659
Census Tract 3591.04,6,57.1,31.5,1503,248700,4.2,71863,5.6,9.8,2.9,0.743755659
Census Tract 3680.01,2.5,9.4,49.6,1008,205300,9,43628,15.1,40.7,26.5,0.743755659
Census Tract 3032.05,0.5,29.3,11.8,2070,385800,1.8,88873,0,16.3,4,0.743755659
Census Tract 3551.10,1,28.7,20.4,1986,260200,10.3,86392,0.9,9.3,6.8,0.743755659
Census Tract 3040.04,2,33.4,4.1,1926,538200,4.3,112476,1.5,7.2,0,0.743755659
Census Tract 3700,14.5,33.6,27.2,1507,374200,3.1,85167,8.1,13.3,9.2,0.743755659
Census Tract 3060.03,1,9.4,17.1,1226,212200,5.9,46904,20.3,45.5,32.8,0.743755659
Census Tract 171.02,528.5,85.7,12.1,2123,1225300,5.1,121500,4,45.9,22.5,0.33325073
Census Tract 123.02,1713,56.2,41.3,1273,NA,4.8,34189,8.5,87.5,48.3,0.147033619
Census Tract 168.01,2107.5,69.9,14.2,1673,773700,5.8,94659,1.3,49.7,27.3,0.173402847
Census Tract 124.02,683.5,49.8,35.2,1043,375900,3.1,38333,13.7,117.6,68.1,0.344024719
Census Tract 126.01,268,83.6,16.5,1813,1496200,4.9,101875,0,36.8,19.2,0.250471338
Census Tract 1022.02,3.5,48.2,17.5,1791,605200,7.3,74148,1.8,29.3,18.1,0.134851127
Census Tract 1022.03,10,29.2,30.3,1496,549600,5.6,64091,10.6,73.3,43,0.134851127
Census Tract 1090.01,100.5,48.4,27.5,1398,815200,1.8,71667,9.3,50,18.8,0.134851127
Census Tract 178.01,975.5,39.2,68.2,291,677000,2.5,16837,0,58.6,12.9,0.123570706
Census Tract 227.04,9.5,80.3,20.1,2266,1002600,6.3,134726,1.1,23.9,9.8,0.060491131
Census Tract 326.02,290,48.4,40.9,1869,803400,4.9,70560,6.5,56.8,29.3,0.424739555
Census Tract 329.01,411.5,46.3,46.6,1905,799400,4.3,83309,6.6,20.3,18.2,0.456929821
Census Tract 1192.02,105.5,75.1,16.8,3364,1211700,2.4,167000,1.9,4.4,3.3,0.198733836
Census Tract 478.01,329.5,56.4,47.2,1725,890800,4.8,79130,10.3,39.8,26.5,0.198733836
Census Tract 3141.03,0.5,15,33.4,1265,189700,15.8,40345,29.9,70.9,35.2,0.198733836
Census Tract 3560.02,4,45.6,25.2,1658,468100,3.3,116250,2.8,20.2,5.8,0.198733836
Census Tract 3540.02,1.5,82.3,19.5,1139,231000,11.8,1,,3.3,0.16,0.198733836
Census Tract 3211.03,0.5,48.6,10,1599,494500,3.6,105000,2,11.2,2.8,0.198733836
Census Tract 3452.02,0.5,68.9,24.9,1857,631600,5.8,113173,1.3,64,32.4,0.198733836
Census Tract 3552,5.5,44.9,36.9,1918,394700,9.5,100557,3.3,48,22.4,0.198733836
Census Tract 3190,1.5,21.9,14.3,1340,347500,5.8,73077,10.7,75.4,44.3,0.198733836
Census Tract 4085,1.5,11.9,27.7,1264,240800,4.9,43729,18.6,78.3,45.5,0.198733836
Census Tract 4087,10,11.2,22.9,1218,235800,9.6,40859,30.2,107.8,64.2,0.198733836
Census Tract 4091,2.5,8.6,30,1451,193900,7.2,35431,30,15.2,11.5,0.198733836
Census Tract 3010,1.5,19.1,10.4,1401,247800,4.5,50792,5.5,11.8,6.5,0.198733836
Census Tract 3610,29,31.2,29.9,1165,344800,4.4,62500,11.4,33.2,18.9,0.198733836
Census Tract 3340.04,2.5,36.8,18.6,1359,331900,8.1,73482,7.7,73,35.7,0.198733836
Census Tract 3780,40.5,63.5,13.2,1381,526900,3.3,84097,1.1,30.4,14.3,0.198733836
Census Tract 3490,3,67,17,1523,938500,4,111759,4,38.2,21.8,0.198733836
Census Tract 3373,3.5,52.2,12.2,1578,657600,2,125431,0,7.5,1.4,0.198733836
Census Tract 3430.03,2,65.4,8.2,1523,871300,4.8,126303,0,17.3,6,0.198733836
Census Tract 3212,2,37.5,34.9,1461,293300,6.5,56250,9.1,69.2,40.3,0.198733836
Census Tract 3131.03,0.5,22.8,30.7,1648,304300,3.8,82911,6.4,39.9,21.5,0.198733836
Census Tract 3671,6.5,20.6,25.1,1103,308100,10.1,48656,15.9,63.4,32.8,0.198733836
Census Tract 4097,5.5,7.5,27.4,1157,204300,9.3,36899,23.4,69.3,40.4,0.198733836
Census Tract 4104,1.5,21.1,27.1,1429,245400,10.6,62963,13.2,26.3,12.9,0.198733836
Census Tract 4201,56,75.9,19.5,2193,806800,5.8,117083,2,13.6,5,0.198733836
Census Tract 229.01,2698.5,34.9,46.4,1605,820600,10,66111,22.2,45.9,18.6,0.196704999
Census Tract 4076,4,18.7,25.3,970,289600,5.2,46818,19.4,56.8,27.4,0.110452559
Census Tract 4237,177.5,82.6,16.5,1117,1046100,4.1,54487,7.6,39.2,28.4,0.110452559
Census Tract 4277,51.5,48.1,22.5,1433,601200,3.2,78497,2.6,56.7,21.8,0.110452559
Census Tract 4282,117,54.4,20.3,1504,648900,5.1,88811,2.4,54.2,29.4,0.110452559
Census Tract 4283.01,3,55.8,32.9,2013,576700,3.2,101633,2.1,18.2,7.1,0.110452559
Census Tract 179.02,24,40.8,27.6,1732,NA,7.4,40769,31.7,31.3,16.6,0.110452559
Census Tract 133,300.5,77.1,17.3,1987,NA,3.9,134152,2.5,37.6,14,0.110452559
Census Tract 4280,154.5,53.5,37,1298,493400,10.6,66621,8.7,45.7,26.3,0.110452559
Census Tract 4307,1.5,37.6,16.5,1786,508800,4.2,99831,0,6,2.8,0.110452559
Census Tract 260.01,73.5,19,52.4,1409,597300,4.8,60938,13,43.3,29.9,0.202027489
