GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_non_white,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_burdened,rent_overburdened,rent_hourly_wage,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
6075010100,Census Tract 101,3.534677919,0,3.961632492,56.9,3.3,52,4.1,48.4,11.02584892,7.351799869,13.57940841,258,89,41.16265414,18.84908984,27.03497,13.42281879,19.13875598
6041101100,Census Tract 1011,6.076373752,0,5.789054155,60.9,4.5,9,1.6,7.40000000000001,11.81129522,7.752764809,13.6141285,75,24,52.14285714,20,8.705343,7.407407407,10.52631579
6041101200,Census Tract 1012,6.004430575,0,5.617589477,35.3,5.1,23.7,7.5,22.1,11.36603669,7.669961995,13.26559755,12,0,66.66666667,32.89473684,8.705343,20,20
6075010200,Census Tract 102,3.743642209,0,3.812909229,80.6,2,21.1,2.5,17.4,11.67832125,7.667626092,13.95292191,470,67,31.91727222,13.75069871,27.03497,15.61938959,17.75510204
6041102100,Census Tract 1021,6.206441184,0,5.76532949,60.1,3,13.2,6.1,12.3,11.51570161,7.543802868,13.45310494,11,0,45.85365854,13.17073171,8.705343,21.42857143,21.42857143
6041102202,Census Tract 1022.02,6.175572587,0,5.686505835,48.2,7.3,17.5,1.8,19.2,11.21381837,7.490529402,13.31331426,61,61,42.52539913,26.26995646,8.705343,4.6875,100
6041102203,Census Tract 1022.03,6.105126296,0,5.651542945,29.2,5.6,30.3,10.6,39.4,11.06805923,7.310550159,13.21694602,52,26,53.73900293,31.52492669,8.705343,8.771929825,16.12903226
6075010300,Census Tract 103,3.421816213,0,3.680382811,54.8,2,34.9,10.2,38.4,11.3819166,7.482118924,13.90982024,365,76,39.52724885,20.42022324,27.03497,10.53921569,12.95180723
6041103100,Census Tract 1031,6.315537925,0,5.742197196,49.6,1.6,6.5,4.6,11.1,11.57699825,7.651120176,13.42513109,142,17,23.96907216,8.505154639,8.705343,8.387096774,9.420289855
6041103200,Census Tract 1032,6.124518409,0,5.579821267,46.6,3.2,14.8,4.9,24.3,11.20998084,7.406103381,13.28550211,122,83,61.14044351,39.07074974,8.705343,7.575757576,20.40816327
6075010400,Census Tract 104,3.16051912,0,3.825059606,70.7,5.5,27.6,2,38.1,11.54566367,7.710205194,13.87189089,248,0,40.12485812,15.20998865,27.03497,15.93220339,15.93220339
6041104101,Census Tract 1041.01,6.017781531,0,5.461736303,47.5,4.8,21.8,7.3,17,11.44838694,7.524561226,13.32088631,146,0,56.2150056,32.81075028,8.705343,7.006369427,7.006369427
6041104102,Census Tract 1041.02,6.021855771,0,5.524187518,29.6,3,26.9,2.9,40.6,11.02110149,7.380879036,12.83734442,31,17,65.17374517,36.75675676,8.705343,18.42105263,33.33333333
6041104200,Census Tract 1042,5.994372573,0,5.324721037,52.3,2.7,22.9,7.1,19.8,11.27855665,7.571473649,13.32334312,115,52,65.95059076,29.21589689,8.705343,5.737704918,10
