GEOID,Census_Tract,year,rent_aff_1,rent_aff_2,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_asian,percent_other_races,log_MHI,rental_units,vacant_rental
6075010100,Census Tract 101,2013,24.2183360,17.0111288,7.319202459,13.54094212,0,0,60.7,4.5,49.2,13.5,52.77,1.55,37.32,8.37,10.911409,1887,129
6041101100,Census Tract 1011,2013,39.8058252,0.0000000,7.649692624,13.72886275,0.970873786,4.761904762,61.6,5.6,14.3,6.9,90.35,0.00,8.46,1.18,11.910862,103,82
6041101200,Census Tract 1012,2013,28.2608696,25.7246377,6.880384082,13.20191366,0,0,35.2,4.6,18.8,13.5,81.97,0.48,3.31,14.25,11.104205,276,0
6075010200,Census Tract 102,2013,17.8097345,15.2101770,7.584773078,13.81551056,0,0,83.6,4.2,15,4.9,84.81,0.47,8.42,6.31,11.595031,1808,401
6041102100,Census Tract 1021,2013,47.2636816,12.4378109,7.649692624,13.5092571,4.47761194,4.615384615,61.2,3.5,14.3,3.8,82.05,1.50,4.37,12.09,11.529969,201,6
6041102202,Census Tract 1022.02,2013,27.2575251,15.8862876,7.649692624,13.25409315,0.334448161,0.392927308,42.1,6.7,21.9,2.4,75.73,1.04,5.96,17.28,11.272102,598,89
6041102203,Census Tract 1022.03,2013,29.0786948,28.7907869,7.145984468,13.08362255,0.575815739,0.681818182,30.5,4.1,30.4,5,65.38,7.03,5.68,21.90,11.058795,1042,162
6075010300,Census Tract 103,2013,20.5619413,24.7126437,7.649692624,13.81551056,0,0,54.6,3.6,30.4,14.1,57.73,0.00,40.20,2.07,11.423635,1566,237
6041103100,Census Tract 1031,2013,21.0526316,19.6172249,7.649692624,13.38349611,0,0,51.1,3.2,8.2,4.5,89.87,0.09,3.77,6.27,11.573550,418,118
6041103200,Census Tract 1032,2013,12.9098361,39.5491803,7.272398393,13.35521961,0,0,41.7,2.8,14,9.3,81.11,1.70,6.72,10.47,11.133026,976,129
6075010400,Census Tract 104,2013,23.7731734,16.7938931,7.649692624,13.63182808,0,0,65.6,5.2,29.3,7.7,60.69,0.02,28.71,10.58,11.371903,1834,310
6041104101,Census Tract 1041.01,2013,22.1621622,20.9459459,7.410951876,13.34037378,0,0,46.9,4.2,21.5,7.1,83.62,0.60,7.09,8.69,11.574180,740,146
6041104102,Census Tract 1041.02,2013,44.0119760,22.8542914,7.31986493,12.74461071,0.299401198,0.31152648,27.1,6.5,33,8.6,63.55,5.51,6.42,24.53,11.084402,1002,39
6041104200,Census Tract 1042,2013,29.9280576,41.1510791,7.480428306,13.28312076,3.884892086,4.166666667,50.3,7.3,24.3,8.2,79.90,1.03,3.32,15.75,11.183921,695,47
6041104300,Census Tract 1043,2013,9.9009901,23.7623762,7.649692624,13.53725062,8.910891089,45,44.3,4.7,16.6,1.6,87.66,0.13,6.79,5.42,11.589118,101,81
6075010500,Census Tract 105,2013,12.8787879,23.9898990,7.649692624,13.77593778,0,0,76.9,7.3,38.1,3.9,68.09,1.54,23.61,6.75,11.654711,1188,388
6041105000,Census Tract 1050,2013,31.0588235,35.2941176,7.278628942,12.82260872,0.235294118,0.366300366,46.1,7.2,18.5,14,74.48,4.04,7.37,14.12,11.024579,850,304
6075010600,Census Tract 106,2013,28.0764636,25.8661888,7.063048163,13.52060244,0,0,38.1,6.4,51.3,24.5,33.68,2.16,55.50,8.65,10.286843,1674,336
6041106001,Census Tract 1060.01,2013,29.2792793,32.6126126,7.51479976,12.71138309,0,0,44.7,5.5,20.4,7.8,67.57,4.18,8.29,19.96,10.912813,1110,202
6041106002,Census Tract 1060.02,2013,19.2356688,25.3503185,7.468513271,13.16465629,0,0,37.4,7.2,29.9,8.9,73.46,2.34,8.18,16.02,11.301043,785,98
