GEOID,Census_Tract,year,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_non_white,log_MHI
6075010100,Census Tract 101,2015,22.3135643,18.8490898,7.351799869,13.57940841,1.996476806,2.352941176,56.94263364,5.1,51.94839389,44.08,11.025849
6041101100,Census Tract 1011,2015,32.14285714,20,7.752764809,13.6141285,0,0,60.93514329,7.2,8.952380952,4.72,11.811295
6041101200,Census Tract 1012,2015,33.77192982,32.8947368,7.669961995,13.26559755,0,0,35.29137529,6.8,23.36387435,19.47,11.366037
6075010200,Census Tract 102,2015,18.1665735,13.7506987,7.667626092,13.95292191,4.080491895,5.53449583,80.57423694,2.8,20.97315436,15.63,11.678321
6041102100,Census Tract 1021,2015,32.68292683,13.1707317,7.543802868,13.45310494,0,0,60.0792752,5.2,13.16836058,14.36,11.515702
6041102202,Census Tract 1022.02,2015,16.25544267,26.2699565,7.490529402,13.31331426,0,0,48.15142794,11.5,17.29854183,20.17,11.213818
6041102203,Census Tract 1022.03,2015,22.21407625,31.5249267,7.310550159,13.21694602,0,0,29.22470434,7.6,29.21243716,35.45,11.068059
6075010300,Census Tract 103,2015,19.10702561,20.4202232,7.482118924,13.90982024,3.348653972,4.404145078,54.8082427,3,34.80738546,43.26,11.381917
6041103100,Census Tract 1031,2015,15.46391753,8.5051546,7.651120176,13.42513109,0,0,49.56033676,3,6.466815028,9.91,11.576998
6041103200,Census Tract 1032,2015,22.06969377,39.0707497,7.406103381,13.28550211,0,0,46.73776662,5.2,14.55897981,24.79,11.209981
6075010400,Census Tract 104,2015,24.91486947,15.2099886,7.710205194,13.87189089,4.256526674,4.953764861,70.70660874,7,27.0979021,39.14,11.545664
6041104101,Census Tract 1041.01,2015,23.40425532,32.8107503,7.524561226,13.32088631,0,0,47.5020475,6.8,21.74375961,15.91,11.448387
6041104102,Census Tract 1041.02,2015,28.41698842,36.7567568,7.380879036,12.83734442,0,0,29.61624027,4.2,26.28700735,30.12,11.021101
6041104200,Census Tract 1042,2015,36.73469388,29.2158969,7.571473649,13.32334312,0,0,52.29911751,4.3,22.72975432,20.58,11.278557
6041104300,Census Tract 1043,2015,17.82178218,26.7326733,8.02125618,13.56255192,0,0,45.52,10,15.3893317,14.29,11.431585
6075010500,Census Tract 105,2015,21.0569777,18.5796862,7.671826798,13.71170439,0.908340215,1.334951456,73.33333333,9.9,34.53070684,44.96,11.561716
6041105000,Census Tract 1050,2015,24.35500516,39.5252838,7.299121463,12.82260872,0,0,45.97886029,8.7,16.66135712,26.01,11.082942
6075010600,Census Tract 106,2015,24.44987775,14.9144254,6.840546529,13.86696384,3.850855746,4.468085106,40.75163399,7.8,49.44506104,65.48,10.457603
6041106001,Census Tract 1060.01,2015,26.13019892,33.9059675,7.650644551,12.53932542,0,0,51.16999312,3.9,15.66707466,29.2,10.963012
