GEOID,Census_Tract,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_hispanic,percent_other_races,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_aff_1,rent_aff_2,rent_aff_3,percent_airbnb_all_rentals,percent_airbnb_active_rentals
06075010100,Census Tract 101,3.5346779,0.0000000,3.9616325,56.9000000,3.3000000,52.0000000,4.1000000,51.6000000,3.8000000,35.4000000,0.0000000,11.0258489,7.3517999,13.5794084,258.0000000,89.0000000,41.1626541,18.8490898,27.0349700,13.42281879,19.13875598
06041101100,Census Tract 1011,6.0763738,0.0000000,5.7890542,60.9000000,4.5000000,9.0000000,1.6000000,92.6000000,0.0000000,5.8000000,0.0000000,11.8112952,7.7527648,13.6141285,75.0000000,24.0000000,52.1428571,20.0000000,8.7053430,7.407407407,10.52631579
06041101200,Census Tract 1012,6.0044306,0.0000000,5.6175895,35.3000000,5.1000000,23.7000000,7.5000000,77.9000000,0.0000000,5.1000000,0.0000000,11.3660367,7.6699620,13.2655975,12.0000000,0.0000000,66.6666667,32.8947368,8.7053430,20,20
06075010200,Census Tract 102,3.7436422,0.0000000,3.8129092,80.6000000,2.0000000,21.1000000,2.5000000,82.6000000,0.0000000,11.1000000,0.2000000,11.6783213,7.6676261,13.9529219,470.0000000,67.0000000,31.9172722,13.7506987,27.0349700,15.61938959,17.75510204
06041102100,Census Tract 1021,6.2064412,0.0000000,5.7653295,60.1000000,3.0000000,13.2000000,6.1000000,87.7000000,0.8000000,3.8000000,0.3000000,11.5157016,7.5438029,13.4531049,11.0000000,0.0000000,45.8536585,13.1707317,8.7053430,21.42857143,21.42857143
06041102202,Census Tract 1022.02,6.1755726,0.0000000,5.6865058,48.2000000,7.3000000,17.5000000,1.8000000,80.8000000,1.2000000,5.3000000,0.0000000,11.2138184,7.4905294,13.3133143,61.0000000,61.0000000,42.5253991,26.2699565,8.7053430,4.6875,100
06041102203,Census Tract 1022.03,6.1051263,0.0000000,5.6515429,29.2000000,5.6000000,30.3000000,10.6000000,60.6000000,4.8000000,5.1000000,0.1000000,11.0680592,7.3105502,13.2169460,52.0000000,26.0000000,53.7390029,31.5249267,8.7053430,8.771929825,16.12903226
06075010300,Census Tract 103,3.4218162,0.0000000,3.6803828,54.8000000,2.0000000,34.9000000,10.2000000,61.6000000,0.0000000,33.5000000,0.0000000,11.3819166,7.4821189,13.9098202,365.0000000,76.0000000,39.5272489,20.4202232,27.0349700,10.53921569,12.95180723
06041103100,Census Tract 1031,6.3155379,0.0000000,5.7421972,49.6000000,1.6000000,6.5000000,4.6000000,88.9000000,1.4000000,3.8000000,0.4000000,11.5769983,7.6511202,13.4251311,142.0000000,17.0000000,23.9690722,8.5051546,8.7053430,8.387096774,9.420289855
06041103200,Census Tract 1032,6.1245184,0.0000000,5.5798213,46.6000000,3.2000000,14.8000000,4.9000000,75.7000000,1.8000000,8.9000000,0.6000000,11.2099808,7.4061034,13.2855021,122.0000000,83.0000000,61.1404435,39.0707497,8.7053430,7.575757576,20.40816327
06075010400,Census Tract 104,3.1605191,0.0000000,3.8250596,70.7000000,5.5000000,27.6000000,2.0000000,61.9000000,0.0000000,28.1000000,0.1000000,11.5456637,7.7102052,13.8718909,248.0000000,0.0000000,40.1248581,15.2099886,27.0349700,15.93220339,15.93220339
