CT_Name,Cent_long,Cent_lat
Census Tract 101,-122.41089903700,37.80848099120
Census Tract 1011,-122.53924799000,38.13272101200
Census Tract 1012,-122.54356396800,38.10094514400
Census Tract 102,-122.42227046300,37.80599856110
Census Tract 1021,-122.59136485900,38.13165232350
Census Tract 1022.02,-122.59126537700,38.11660338470
Census Tract 1022.03,-122.57032801700,38.11044153610
Census Tract 103,-122.41568114900,37.80162009230
Census Tract 1031,-122.64608005400,38.11569118800
Census Tract 1032,-122.58613729100,38.09830621170
Census Tract 104,-122.40755814300,37.80227250600
Census Tract 1041.01,-122.56430993500,38.07929905850
Census Tract 1041.02,-122.55932652700,38.08820647740
Census Tract 1042,-122.56880976000,38.06090473740
Census Tract 1043,-122.50427649100,38.07684283840
Census Tract 105,-122.39713924800,37.79975084340
Census Tract 1050,-122.51496162900,38.05790450010
Census Tract 106,-122.40638793900,37.79937839290
Census Tract 1060.01,-122.51578217600,38.02921033060
Census Tract 1060.02,-122.50121523400,38.00535092830
Census Tract 107,-122.41004663100,37.79851399480
Census Tract 1070,-122.58397040900,38.03860138890
Census Tract 108,-122.41429139500,37.79649839800
Census Tract 1081,-122.56173297900,38.01774486750
Census Tract 1082,-122.54758330700,37.99888823360
Census Tract 109,-122.42055989600,37.79803696650
Census Tract 1090.01,-122.53053197500,37.98153052340
Census Tract 1090.02,-122.54890589100,37.98395327870
Census Tract 110,-122.41979779600,37.79437662250
Census Tract 1101,-122.50892471300,37.98248615870
Census Tract 1102,-122.47225387300,37.98389887120
Census Tract 111,-122.41908188100,37.79074336380
Census Tract 1110,-122.53685930600,37.97028492770
Census Tract 112,-122.41273326000,37.79297126240
Census Tract 1121,-122.52055262700,37.96102885710
Census Tract 1122.01,-122.50486519500,37.96626802020
Census Tract 1122.02,-122.49255130600,37.95716304460
Census Tract 113,-122.40934926500,37.79469715370
Census Tract 1130,-122.66650841100,38.01393077340
Census Tract 1141,-122.59410621000,37.97627812400
Census Tract 1142,-122.59963599000,38.00296914180
Census Tract 1150,-122.58323210400,38.00606296300
Census Tract 1160,-122.57587250900,37.97964111060
Census Tract 117,-122.40347483500,37.79049752260
Census Tract 1170,-122.56411008700,37.97461071160
Census Tract 118,-122.40616450000,37.79335057080
Census Tract 1181,-122.56160066300,37.96367507330
Census Tract 119.01,-122.41391420500,37.79047284240
Census Tract 119.02,-122.40980667800,37.79099592260
Census Tract 1191,-122.55315247500,37.94739575590
Census Tract 1192.01,-122.52872166200,37.94547370820
Census Tract 1192.02,-122.52475849100,37.95181991070
Census Tract 120,-122.41852732800,37.78796450990
Census Tract 1200,-122.53771230600,37.93577452140
Census Tract 121,-122.41188806000,37.78880657480
Census Tract 1211,-122.52285247200,37.92404836260
Census Tract 1212,-122.49984814600,37.93094499760
Census Tract 122.01,-122.41635350000,37.78584643660
Census Tract 122.02,-122.41964430000,37.78541220030
Census Tract 1220,-122.49068809100,37.94059762090
Census Tract 123.01,-122.41074611900,37.78592027760
Census Tract 123.02,-122.41209693200,37.78702227560
Census Tract 1230,-122.47019223200,37.87052420500
Census Tract 124.01,-122.41578905100,37.78305102920
Census Tract 124.02,-122.41776904300,37.78014678210
Census Tract 1241,-122.48957468500,37.90355188780
Census Tract 1242,-122.45114699800,37.87809252500
Census Tract 125.01,-122.41098365800,37.78301374940
Census Tract 125.02,-122.41259540500,37.78393297900
Census Tract 1250,-122.50621831200,37.88853952200
Census Tract 126.01,-122.43915086100,37.80226827300
Census Tract 126.02,-122.43323589100,37.80735356890
Census Tract 1261,-122.54048713300,37.91215161890
Census Tract 1262,-122.52200811000,37.90072460950
Census Tract 127,-122.44492745700,37.80466895040
Census Tract 1270,-122.55850578200,37.91044067970
Census Tract 128,-122.44174647200,37.79780989180
Census Tract 1281,-122.53160820600,37.87170018890
Census Tract 1282,-122.54605866800,37.89338631540
Census Tract 129.01,-122.42724907400,37.80195969450
Census Tract 129.02,-122.43211045600,37.80061828480
Census Tract 1290,-122.51282083700,37.86887101200
Census Tract 130,-122.43051715600,37.79724418270
Census Tract 1302.01,-122.48553761000,37.85107686390
Census Tract 1302.02,-122.49093928500,37.86276100520
Census Tract 131.01,-122.42474957700,37.79377954270
Census Tract 131.02,-122.42743132200,37.79262004740
Census Tract 1311,-122.60120728700,37.91952034060
Census Tract 132,-122.43874548200,37.79366752700
Census Tract 1321,-122.68058262800,37.92004958650
Census Tract 1322,-122.86064242400,38.05525788800
Census Tract 133,-122.45242923600,37.78873070530
Census Tract 1330,-122.79405284200,38.17089274540
Census Tract 134,-122.44079900100,37.78984896730
Census Tract 135,-122.43255508100,37.79089762540
Census Tract 151,-122.42340507100,37.78744252460
Census Tract 152,-122.43026655600,37.78791390030
Census Tract 153,-122.43933459700,37.78676177840
Census Tract 154,-122.45103409000,37.78436225380
Census Tract 155,-122.43414632200,37.78509421520
Census Tract 156,-122.45642689900,37.77824733510
Census Tract 157,-122.44800717100,37.77891584170
Census Tract 158.01,-122.43735851200,37.78130451720
Census Tract 158.02,-122.43850232700,37.77807900190
Census Tract 159,-122.42934056600,37.78334546220
Census Tract 160,-122.42249147700,37.78233914280
Census Tract 161,-122.42866304400,37.77998302320
Census Tract 162,-122.42288065300,37.77715412520
Census Tract 163,-122.42955092200,37.77604561200
Census Tract 164,-122.43697294300,37.77509949210
Census Tract 165,-122.44778828400,37.77419570500
Census Tract 166,-122.44745381900,37.77049415850
Census Tract 167,-122.43773570800,37.77034811610
Census Tract 168.01,-122.42901331200,37.77133088270
Census Tract 168.02,-122.42492997800,37.77354639810
Census Tract 169,-122.43246899800,37.76709806490
Census Tract 170,-122.43949722200,37.76488731270
Census Tract 171.01,-122.44608364700,37.76572457370
Census Tract 171.02,-122.45047535300,37.76543538170
Census Tract 176.01,-122.41072494900,37.77944240940
Census Tract 177,-122.41249015400,37.76804214290
Census Tract 178.01,-122.40115889400,37.78202844730
Census Tract 178.02,-122.40870314800,37.77606495210
Census Tract 179.02,-122.37279611700,37.80501034580
Census Tract 180,-122.40227608200,37.77533041670
Census Tract 201,-122.42000235000,37.76860855070
Census Tract 202,-122.42417771600,37.76712439930
Census Tract 203,-122.42943381000,37.76493737600
Census Tract 204.01,-122.44348355800,37.75951666460
Census Tract 204.02,-122.44441154400,37.75283918790
Census Tract 205,-122.43702963900,37.75912822530
Census Tract 206,-122.43034289300,37.75956259750
Census Tract 207,-122.42355302600,37.75916796140
Census Tract 208,-122.41914866400,37.75943314370
Census Tract 209,-122.41841340600,37.75182116190
Census Tract 210,-122.42285210100,37.75157583720
Census Tract 211,-122.42981544200,37.75397085960
Census Tract 212,-122.43812611900,37.75317618020
Census Tract 213,-122.43846843900,37.74926476450
Census Tract 214,-122.42940967300,37.74957576150
Census Tract 215,-122.42669746000,37.74505182480
Census Tract 216,-122.43813996400,37.74549594230
Census Tract 217,-122.43927284800,37.74028283540
Census Tract 218,-122.42909687300,37.73795393030
Census Tract 226,-122.38566205600,37.75997135740
Census Tract 227.02,-122.39560564400,37.76254366320
Census Tract 227.04,-122.40198932600,37.76095195010
Census Tract 228.01,-122.41251130000,37.76072694700
Census Tract 228.02,-122.40623363000,37.75891515220
Census Tract 228.03,-122.41208423200,37.75583681580
Census Tract 229.01,-122.41394447500,37.75120104090
Census Tract 229.02,-122.41037866500,37.75134402580
Census Tract 229.03,-122.40623523100,37.75176472030
Census Tract 230.01,-122.40176017000,37.73519184290
Census Tract 230.03,-122.39583491700,37.73267490500
Census Tract 231.02,-122.38449006700,37.73448949480
Census Tract 231.03,-122.37596539700,37.73563215630
Census Tract 232,-122.38615021900,37.72776352510
Census Tract 233,-122.39777002200,37.72541906200
Census Tract 234,-122.39009075500,37.72159160470
Census Tract 251,-122.40767406300,37.74393943530
Census Tract 252,-122.41421662200,37.74371241070
Census Tract 253,-122.42014863600,37.74370169860
Census Tract 254.01,-122.42097620000,37.73770594190
Census Tract 254.02,-122.41278599400,37.73688288290
Census Tract 254.03,-122.42060693400,37.73377046650
Census Tract 255,-122.43725910300,37.72806291920
Census Tract 256,-122.42242442200,37.72871347560
Census Tract 257.01,-122.41213996600,37.73158600710
Census Tract 257.02,-122.40575895100,37.72813053180
Census Tract 258,-122.40200189900,37.72162002900
Census Tract 259,-122.41095245400,37.72347528400
Census Tract 260.01,-122.43224338800,37.72355021250
Census Tract 260.02,-122.42628232300,37.72611956110
Census Tract 260.03,-122.42877289800,37.71962164030
Census Tract 260.04,-122.43570330900,37.71789184170
Census Tract 261,-122.44315992700,37.71962386070
Census Tract 262,-122.45395320800,37.71131705570
Census Tract 263.01,-122.43953613400,37.71386866760
Census Tract 263.02,-122.43079253500,37.71165944140
Census Tract 263.03,-122.44346626400,37.70966451780
Census Tract 264.01,-122.41128334500,37.71352506870
Census Tract 264.02,-122.40329762200,37.71648846370
Census Tract 264.03,-122.40691277900,37.71119164790
Census Tract 264.04,-122.41528380000,37.70964988320
Census Tract 301.01,-122.45973338100,37.76423756140
