FIPS_alt,formatted_add,loc_type,add_type,status
Census Tract 101,"1728-1798 The Embarcadero, San Francisco, CA 94133, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1011,"1547 Saddle Wood Dr, Novato, CA 94945, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1012,"347-355 Olive Ave, Novato, CA 94945, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 102,"900 North Point St, San Francisco, CA 94109, USA",ROOFTOP,premise,OK
Census Tract 1021,"San Marin Fire Rd, Novato, CA 94945, USA",GEOMETRIC_CENTER,route,OK
Census Tract 1022.02,"2059 Feliz Rd, Novato, CA 94945, USA",ROOFTOP,street_address,OK
Census Tract 1022.03,"1113-1117 1st St, Novato, CA 94945, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 103,"978 Greenwich St, San Francisco, CA 94133, USA",ROOFTOP,street_address,OK
Census Tract 1031,"3653-3735 Novato Blvd, Novato, CA 94947, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1032,"509 Canyon Rd, Novato, CA 94947, USA",ROOFTOP,street_address,OK
Census Tract 104,"479 Greenwich St, San Francisco, CA 94133, USA",ROOFTOP,premise,OK
Census Tract 1041.01,"660-670 Midway Blvd, Novato, CA 94947, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1041.02,"256 Sunset Pkwy, Novato, CA 94947, USA",ROOFTOP,street_address,OK
Census Tract 1042,"4-8 Wentworth Ln, Novato, CA 94949, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1043,"Unnamed Road, Novato, CA 94949, USA",GEOMETRIC_CENTER,route,OK
Census Tract 105,"7 Pier 9, San Francisco, CA 94111, USA",ROOFTOP,street_address,OK
Census Tract 1050,"370-490 Hangar Ave, Novato, CA 94949, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 106,"20 San Antonio Pl, San Francisco, CA 94133, USA",ROOFTOP,premise,OK
Census Tract 1060.01,"Unnamed Road, San Rafael, CA 94903, USA",GEOMETRIC_CENTER,route,OK
Census Tract 1060.02,"Bay View Trail, San Rafael, CA 94901, USA",GEOMETRIC_CENTER,route,OK
Census Tract 107,"766 Vallejo St, San Francisco, CA 94133, USA",ROOFTOP,premise,OK
Census Tract 1070,"69 Bridgegate Dr, San Rafael, CA 94903, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 108,"52B Bernard St, San Francisco, CA 94133, USA",ROOFTOP,street_address,OK
Census Tract 1081,"735-745 Knocknaboul Way, San Rafael, CA 94903, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1082,"408-410 Nova Albion Way, San Rafael, CA 94903, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 109,"1301-1325 Green St, San Francisco, CA 94109, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1090.01,"15 Live Oak Way, San Rafael, CA 94901, USA",ROOFTOP,street_address,OK
Census Tract 1090.02,"6 Nevada St, San Rafael, CA 94901, USA",ROOFTOP,premise,OK
Census Tract 110,"1801 Larkin St, San Francisco, CA 94109, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1101,"311 Locust Ave, San Rafael, CA 94901, USA",ROOFTOP,street_address,OK
Census Tract 1102,"13 Peacock Ln, San Rafael, CA 94901, USA",ROOFTOP,premise,OK
Census Tract 111,"1482 California St, San Francisco, CA 94109, USA",ROOFTOP,street_address,OK
Census Tract 1110,"47 Clayton St, San Rafael, CA 94901, USA",ROOFTOP,street_address,OK
Census Tract 112,"1134 Taylor St, San Francisco, CA 94108, USA",ROOFTOP,street_address,OK
Census Tract 1121,"1-99 Lynn Ct, San Rafael, CA 94901, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1122.01,"260 Canal St, San Rafael, CA 94901, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1122.02,"San Francisco Bay Trail, San Rafael, CA 94901, USA",GEOMETRIC_CENTER,route,OK
Census Tract 113,"981 Washington St, San Francisco, CA 94108, USA",ROOFTOP,premise,OK
Census Tract 1130,"550-562 San Geronimo Valley Dr, San Geronimo, CA 94963, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1141,"99 Wood Ln, Fairfax, CA 94930, USA",ROOFTOP,street_address,OK
Census Tract 1142,"2480 Sir Francis Drake Blvd, Fairfax, CA 94930, USA",ROOFTOP,street_address,OK
Census Tract 1150,"145-199 Stuyvesant Dr, San Anselmo, CA 94960, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1160,"70a Elm Ave, San Anselmo, CA 94960, USA",ROOFTOP,street_address,OK
Census Tract 117,"88 Hardie Pl, San Francisco, CA 94108, USA",ROOFTOP,street_address,OK
Census Tract 1170,"37 Magnolia Ave, San Anselmo, CA 94960, USA",ROOFTOP,premise,OK
Census Tract 118,"667 Grant Ave, San Francisco, CA 94108, USA",ROOFTOP,street_address,OK
Census Tract 1181,"9 Ames Ave, Ross, CA 94957, USA",ROOFTOP,street_address,OK
Census Tract 119.01,"1099 Pine St, San Francisco, CA 94109, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 119.02,"845-855 Pine St, San Francisco, CA 94108, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1191,"70 Rancheria Rd, Kentfield, CA 94904, USA",ROOFTOP,premise,OK
Census Tract 1192.01,"3 Vía Belardo, Greenbrae, CA 94904, USA",ROOFTOP,street_address,OK
Census Tract 1192.02,"29 Paseo Way, Greenbrae, CA 94904, USA",ROOFTOP,street_address,OK
Census Tract 120,"1101 Sutter St, San Francisco, CA 94109, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1200,"134 Hawthorne Ave, Larkspur, CA 94939, USA",ROOFTOP,street_address,OK
Census Tract 121,"699 Sutter St, San Francisco, CA 94102, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1211,"530 Oakdale Ave, Corte Madera, CA 94925, USA",ROOFTOP,street_address,OK
Census Tract 1212,"235-239 Golden Hind Psge, Corte Madera, CA 94925, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 122.01,"522-534 Hyde St, San Francisco, CA 94109, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 122.02,"900-948 Polk St, San Francisco, CA 94109, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1220,"66 Valley Way, San Quentin, CA 94964, USA",ROOFTOP,street_address,OK
Census Tract 123.01,"333 O'Farrell St, San Francisco, CA 94102, USA",ROOFTOP,premise,OK
Census Tract 123.02,"524 Geary St, San Francisco, CA 94102, USA",ROOFTOP,street_address,OK
Census Tract 1230,"91 W Shore Rd, Tiburon, CA 94920, USA",ROOFTOP,street_address,OK
Census Tract 124.01,"228 Hyde St, San Francisco, CA 94102, USA",ROOFTOP,street_address,OK
Census Tract 124.02,"355-357 McAllister St, San Francisco, CA 94102, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1241,"99 Indian Rock Ct, Tiburon, CA 94920, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1242,"440 Ridge Rd, Tiburon, CA 94920, USA",ROOFTOP,street_address,OK
Census Tract 125.01,"55 Taylor St, San Francisco, CA 94102, USA",ROOFTOP,premise,OK
Census Tract 125.02,"295-301 Eddy St, San Francisco, CA 94102, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1250,"Shuck Dr, Mill Valley, CA 94941, USA",GEOMETRIC_CENTER,route,OK
Census Tract 126.01,"140 Alhambra St, San Francisco, CA 94123, USA",ROOFTOP,street_address,OK
Census Tract 126.02,"10 San Francisco Bay Trail, San Francisco, CA 94123, USA",ROOFTOP,street_address,OK
Census Tract 1261,"Blithedale Ridge Fire Rd, Mill Valley, CA 94941, USA",GEOMETRIC_CENTER,route,OK
Census Tract 1262,"118-124 Kipling Dr, Mill Valley, CA 94941, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 127,"1980 Jefferson St, San Francisco, CA 94123, USA",ROOFTOP,premise,OK
Census Tract 1270,"333 Lovell Ave, Mill Valley, CA 94941, USA",ROOFTOP,premise,OK
Census Tract 128,"2555 Greenwich St, San Francisco, CA 94123, USA",ROOFTOP,street_address,OK
Census Tract 1281,"334 Durant Way, Mill Valley, CA 94941, USA",ROOFTOP,street_address,OK
Census Tract 1282,"334-356 Ferndale Ave, Mill Valley, CA 94941, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 129.01,"1447-1457 Chestnut St, San Francisco, CA 94123, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 129.02,"1848 Lombard St, San Francisco, CA 94123, USA",ROOFTOP,premise,OK
Census Tract 1290,"429 Drake Ave, Sausalito, CA 94965, USA",ROOFTOP,street_address,OK
