FIPS_alt,formatted_add,loc_type,add_type,status
Census Tract 1130,"550-562 San Geronimo Valley Dr, San Geronimo, CA 94963, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1321,"4691-4775 CA-1, Bolinas, CA 94924, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 1322,"Bayview Trail, Inverness, CA 94937, USA",GEOMETRIC_CENTER,route,OK
Census Tract 1330,"1506-1592 Marshall Petaluma Rd, Petaluma, CA 94952, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 3010,"301 Alcott Ct, Bethel Island, CA 94511, USA",ROOFTOP,street_address,OK
Census Tract 3040.02,"Western Farms Ranch Rd, Byron, CA 94514, USA",GEOMETRIC_CENTER,route,OK
Census Tract 3040.03,"5901 Marina Rd, Discovery Bay, CA 94505, USA",ROOFTOP,street_address,OK
Census Tract 3040.04,"1811-1821 Dune Point Pl, Discovery Bay, CA 94505, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 3551.12,"Volvon Trail, Livermore, CA 94551, USA",GEOMETRIC_CENTER,route,OK
Census Tract 3552,"Unnamed Road, Pittsburg, CA 94565, USA",GEOMETRIC_CENTER,route,OK
Census Tract 4507.01,"Unnamed Road, Sunol, CA 94586, USA",GEOMETRIC_CENTER,route,OK
Census Tract 4511.01,"Unnamed Road, Livermore, CA 94550, USA",GEOMETRIC_CENTER,route,OK
Census Tract 6016.03,"352 Michelle Ln, Daly City, CA 94015, USA",ROOFTOP,street_address,OK
Census Tract 6016.04,"135 Serramonte Center, Daly City, CA 94015, USA",ROOFTOP,street_address,OK
Census Tract 6016.05,"4280-4284 Callan Blvd, Daly City, CA 94015, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6017,"121 Crown Cir, South San Francisco, CA 94080, USA",ROOFTOP,street_address,OK
Census Tract 6018,"210-212 Alta Mesa Dr, South San Francisco, CA 94080, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6019.01,"383 Holly Ave, South San Francisco, CA 94080, USA",ROOFTOP,premise,OK
Census Tract 6019.02,"1086 Grand Ave, South San Francisco, CA 94080, USA",ROOFTOP,street_address,OK
Census Tract 6020,"749 Larch Ave, South San Francisco, CA 94080, USA",ROOFTOP,premise,OK
Census Tract 6021,"938 Linden Ave, South San Francisco, CA 94080, USA",ROOFTOP,premise,OK
Census Tract 6022,"531 3rd Ln, South San Francisco, CA 94080, USA",ROOFTOP,premise,OK
Census Tract 6023,"471 Littlefield Ave, South San Francisco, CA 94080, USA",ROOFTOP,street_address,OK
Census Tract 6024,"458-462 Comerwood Ct, South San Francisco, CA 94080, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6025,"2225-2247 Kenry Way, South San Francisco, CA 94080, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6026,"2172 Greendale Dr, South San Francisco, CA 94080, USA",ROOFTOP,premise,OK
Census Tract 6027,"483 Inverness Dr, Pacifica, CA 94044, USA",ROOFTOP,premise,OK
Census Tract 6028,"Cabrillo Hwy, Pacifica, CA 94044, USA",GEOMETRIC_CENTER,route,OK
Census Tract 6029,"318 Palmetto Ave, Pacifica, CA 94044, USA",ROOFTOP,street_address,OK
Census Tract 6030,"371 Carmel Ave, Pacifica, CA 94044, USA",ROOFTOP,premise,OK
Census Tract 6031,"4591-4595 Cabrillo Hwy, Pacifica, CA 94044, USA",RANGE_INTERPOLATED,street_address,OK
