id,stcnttr,name,addr,level,dist,score
Census Tract 101,Census Tract 101,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,0.77 miles,8
Census Tract 101,Census Tract 101,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,2.06 miles,Compare
Census Tract 101,Census Tract 101,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,2.31 miles,Compare
Census Tract 101,Census Tract 101,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,2.62 miles,Compare
Census Tract 101,Census Tract 101,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,2.72 miles,8
Census Tract 101,Census Tract 101,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,3.31 miles,4
Census Tract 101,Census Tract 101,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,3.33 miles,Compare
Census Tract 101,Census Tract 101,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,3.38 miles,5
Census Tract 101,Census Tract 101,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,3.38 miles,3
Census Tract 101,Census Tract 101,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,3.4 miles,3
Census Tract 101,Census Tract 101,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,4.01 miles,Compare
Census Tract 101,Census Tract 101,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,4.61 miles,Compare
Census Tract 101,Census Tract 101,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,4.83 miles,10
Census Tract 101,Census Tract 101,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,4.83 miles,5
Census Tract 101,Census Tract 101,Washington (George) High School,"600 32nd Avenue, San Francisco, CA 94121",9-12,4.9 miles,8
Census Tract 1011,Census Tract 1011,Nova Education Center,"720 Diablo Boulevard, Novato, CA 94947",K-12,2.5 miles,4
Census Tract 1011,Census Tract 1011,Nexus Academy,"720 Diablo Avenue, Novato, CA 94947",7-10,2.55 miles,Compare
Census Tract 1011,Census Tract 1011,Marin Oaks High School,"720 Diablo Avenue, Novato, CA 94947",9-12,2.77 miles,Compare
Census Tract 1011,Census Tract 1011,Novato High School,"625 Arthur Street, Novato, CA 94947",9-12,2.93 miles,8
Census Tract 1011,Census Tract 1011,San Marin High School-Plus,"15 San Marin Drive, Novato, CA 94945",11-12,3.56 miles,Compare
Census Tract 1011,Census Tract 1011,San Marin High School,"15 San Marin Drive, Novato, CA 94945",9-12,3.61 miles,8
Census Tract 1012,Census Tract 1012,Marin Oaks High School,"720 Diablo Avenue, Novato, CA 94947",9-12,1.74 miles,Compare
Census Tract 1012,Census Tract 1012,Nova Education Center,"720 Diablo Boulevard, Novato, CA 94947",K-12,1.81 miles,4
Census Tract 1012,Census Tract 1012,Nexus Academy,"720 Diablo Avenue, Novato, CA 94947",7-10,1.83 miles,Compare
Census Tract 1012,Census Tract 1012,Novato High School,"625 Arthur Street, Novato, CA 94947",9-12,1.89 miles,8
Census Tract 1012,Census Tract 1012,San Marin High School-Plus,"15 San Marin Drive, Novato, CA 94945",11-12,3.75 miles,Compare
Census Tract 1012,Census Tract 1012,San Marin High School,"15 San Marin Drive, Novato, CA 94945",9-12,3.84 miles,8
Census Tract 102,Census Tract 102,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,0.14 miles,8
Census Tract 102,Census Tract 102,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,1.75 miles,Compare
Census Tract 102,Census Tract 102,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,2.14 miles,8
Census Tract 102,Census Tract 102,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,2.17 miles,Compare
Census Tract 102,Census Tract 102,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,2.28 miles,Compare
Census Tract 102,Census Tract 102,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,3.07 miles,5
