id,stcnttr,name,addr,level,dist,score
Census Tract 110,Census Tract 110,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,0.65 miles,8
Census Tract 110,Census Tract 110,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,1.01 miles,Compare
Census Tract 110,Census Tract 110,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,1.52 miles,Compare
Census Tract 110,Census Tract 110,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,1.55 miles,Compare
Census Tract 110,Census Tract 110,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,1.73 miles,8
Census Tract 110,Census Tract 110,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.34 miles,5
Census Tract 110,Census Tract 110,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.34 miles,3
Census Tract 110,Census Tract 110,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.45 miles,3
Census Tract 110,Census Tract 110,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,2.5 miles,Compare
Census Tract 110,Census Tract 110,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,2.51 miles,4
Census Tract 110,Census Tract 110,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,3.1 miles,Compare
Census Tract 110,Census Tract 110,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,3.76 miles,10
Census Tract 110,Census Tract 110,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,3.76 miles,5
Census Tract 110,Census Tract 110,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,3.78 miles,Compare
Census Tract 110,Census Tract 110,Washington (George) High School,"600 32nd Avenue, San Francisco, CA 94121",9-12,4.12 miles,8
Census Tract 110,Census Tract 110,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,4.21 miles,4
Census Tract 110,Census Tract 110,Lincoln (Abraham) High School,"2162 24th Avenue, San Francisco, CA 94116",9-12,4.71 miles,8
Census Tract 1101,Census Tract 1101,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,0.85 miles,Compare
Census Tract 1101,Census Tract 1101,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,0.98 miles,5
Census Tract 1101,Census Tract 1101,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.58 miles,6
Census Tract 1101,Census Tract 1101,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.65 miles,Compare
Census Tract 1101,Census Tract 1101,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,3.11 miles,3
Census Tract 1101,Census Tract 1101,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,3.11 miles,Compare
Census Tract 1101,Census Tract 1101,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,3.3 miles,Compare
Census Tract 1101,Census Tract 1101,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,3.34 miles,8
Census Tract 1101,Census Tract 1101,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,3.37 miles,9
Census Tract 1101,Census Tract 1101,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,3.44 miles,Compare
Census Tract 1101,Census Tract 1101,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,3.51 miles,9
Census Tract 1102,Census Tract 1102,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,2.44 miles,Compare
Census Tract 1102,Census Tract 1102,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,2.46 miles,5
Census Tract 1102,Census Tract 1102,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,4.38 miles,Compare
Census Tract 1102,Census Tract 1102,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,4.45 miles,6
Census Tract 1102,Census Tract 1102,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,4.47 miles,Compare
Census Tract 1102,Census Tract 1102,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,4.52 miles,8
Census Tract 1102,Census Tract 1102,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,4.54 miles,Compare
Census Tract 1102,Census Tract 1102,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,4.58 miles,9
Census Tract 1102,Census Tract 1102,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,4.73 miles,3
Census Tract 1102,Census Tract 1102,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,4.73 miles,Compare
Census Tract 111,Census Tract 111,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,0.76 miles,Compare
Census Tract 111,Census Tract 111,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,0.92 miles,8
Census Tract 111,Census Tract 111,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,1.27 miles,Compare
Census Tract 111,Census Tract 111,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,1.36 miles,Compare
Census Tract 111,Census Tract 111,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,1.64 miles,8
Census Tract 111,Census Tract 111,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.09 miles,5
Census Tract 111,Census Tract 111,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.09 miles,3
Census Tract 111,Census Tract 111,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.18 miles,3
Census Tract 111,Census Tract 111,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,2.23 miles,Compare
Census Tract 111,Census Tract 111,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,2.25 miles,4
Census Tract 111,Census Tract 111,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,2.83 miles,Compare
Census Tract 111,Census Tract 111,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,3.55 miles,10
Census Tract 111,Census Tract 111,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,3.55 miles,5
Census Tract 111,Census Tract 111,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,3.74 miles,Compare
Census Tract 111,Census Tract 111,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,3.94 miles,4
Census Tract 111,Census Tract 111,Washington (George) High School,"600 32nd Avenue, San Francisco, CA 94121",9-12,4.11 miles,8
Census Tract 111,Census Tract 111,Lincoln (Abraham) High School,"2162 24th Avenue, San Francisco, CA 94116",9-12,4.56 miles,8
Census Tract 111,Census Tract 111,Gateway To College,"50 Phelan Avenue Science Hall, Room 127, San Francisco, CA 94112",9-12,4.89 miles,Compare
Census Tract 111,Census Tract 111,Balboa High School,"1000 Cayuga Avenue, San Francisco, CA 94112",9-12,4.91 miles,7
Census Tract 111,Census Tract 111,Jordan (June) School For Equity,"325 La Grande Avenue, San Francisco, CA 94112",9-12,4.93 miles,3
Census Tract 111,Census Tract 111,Burton (Phillip And Sala) Academic High School,"400 Mansell Street, San Francisco, CA 94134",9-12,4.93 miles,5
Census Tract 1110,Census Tract 1110,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,1.25 miles,Compare
Census Tract 1110,Census Tract 1110,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,1.28 miles,5
Census Tract 1110,Census Tract 1110,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.13 miles,Compare
Census Tract 1110,Census Tract 1110,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.14 miles,6
Census Tract 1110,Census Tract 1110,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,2.17 miles,9
