id,stcnttr,name,addr,level,dist,score
Census Tract 259,Census Tract 259,Burton (Phillip And Sala) Academic High School,"400 Mansell Street, San Francisco, CA 94134",9-12,0.39 miles,5
Census Tract 259,Census Tract 259,Jordan (June) School For Equity,"325 La Grande Avenue, San Francisco, CA 94112",9-12,0.8 miles,3
Census Tract 259,Census Tract 259,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,1.03 miles,4
Census Tract 259,Census Tract 259,Balboa High School,"1000 Cayuga Avenue, San Francisco, CA 94112",9-12,1.56 miles,7
Census Tract 259,Census Tract 259,Gateway To College,"50 Phelan Avenue Science Hall, Room 127, San Francisco, CA 94112",9-12,1.63 miles,Compare
Census Tract 259,Census Tract 259,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,1.93 miles,Compare
Census Tract 259,Census Tract 259,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.56 miles,3
Census Tract 259,Census Tract 259,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,2.65 miles,10
Census Tract 259,Census Tract 259,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,2.65 miles,5
Census Tract 259,Census Tract 259,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,2.67 miles,Compare
Census Tract 259,Census Tract 259,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,2.75 miles,4
Census Tract 259,Census Tract 259,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.81 miles,5
Census Tract 259,Census Tract 259,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.81 miles,3
Census Tract 259,Census Tract 259,Jefferson High School,"6996 Mission Street, Daly City, CA 94014",9-12,3.59 miles,4
Census Tract 259,Census Tract 259,Thornton High School,"115 First Avenue, Daly City, CA 94014",9-12,3.62 miles,Compare
Census Tract 259,Census Tract 259,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,3.67 miles,Compare
Census Tract 259,Census Tract 259,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,3.86 miles,Compare
Census Tract 259,Census Tract 259,Lowell High School,"1101 Eucalyptus Drive, San Francisco, CA 94132",9-12,4.0 miles,10
Census Tract 259,Census Tract 259,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,4.03 miles,Compare
Census Tract 259,Census Tract 259,Lincoln (Abraham) High School,"2162 24th Avenue, San Francisco, CA 94116",9-12,4.2 miles,8
Census Tract 259,Census Tract 259,El Camino High School,"1320 Mission Road, South San Francisco, CA 94080",9-12,4.21 miles,8
Census Tract 259,Census Tract 259,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,4.4 miles,8
Census Tract 259,Census Tract 259,Westmoor High School,"131 Westmoor Avenue, Daly City, CA 94015",9-12,4.87 miles,7
Census Tract 260.01,Census Tract 260.01,Balboa High School,"1000 Cayuga Avenue, San Francisco, CA 94112",9-12,0.44 miles,7
Census Tract 260.01,Census Tract 260.01,Jordan (June) School For Equity,"325 La Grande Avenue, San Francisco, CA 94112",9-12,0.44 miles,3
Census Tract 260.01,Census Tract 260.01,Gateway To College,"50 Phelan Avenue Science Hall, Room 127, San Francisco, CA 94112",9-12,0.5 miles,Compare
Census Tract 260.01,Census Tract 260.01,Burton (Phillip And Sala) Academic High School,"400 Mansell Street, San Francisco, CA 94134",9-12,1.5 miles,5
Census Tract 260.01,Census Tract 260.01,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,1.83 miles,10
Census Tract 260.01,Census Tract 260.01,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,1.83 miles,5
Census Tract 260.01,Census Tract 260.01,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,1.86 miles,4
Census Tract 260.01,Census Tract 260.01,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,2.25 miles,Compare
Census Tract 260.01,Census Tract 260.01,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.64 miles,5
Census Tract 260.01,Census Tract 260.01,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.64 miles,3
Census Tract 260.01,Census Tract 260.01,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.68 miles,3
Census Tract 260.01,Census Tract 260.01,Jefferson High School,"6996 Mission Street, Daly City, CA 94014",9-12,2.72 miles,4
Census Tract 260.01,Census Tract 260.01,Thornton High School,"115 First Avenue, Daly City, CA 94014",9-12,2.84 miles,Compare
Census Tract 260.01,Census Tract 260.01,Lowell High School,"1101 Eucalyptus Drive, San Francisco, CA 94132",9-12,2.87 miles,10
Census Tract 260.01,Census Tract 260.01,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,3.02 miles,Compare
Census Tract 260.01,Census Tract 260.01,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,3.14 miles,4
Census Tract 260.01,Census Tract 260.01,Lincoln (Abraham) High School,"2162 24th Avenue, San Francisco, CA 94116",9-12,3.16 miles,8
Census Tract 260.01,Census Tract 260.01,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,3.6 miles,Compare
Census Tract 260.01,Census Tract 260.01,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,3.88 miles,Compare
Census Tract 260.01,Census Tract 260.01,El Camino High School,"1320 Mission Road, South San Francisco, CA 94080",9-12,3.96 miles,8
Census Tract 260.01,Census Tract 260.01,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,3.97 miles,Compare
Census Tract 260.01,Census Tract 260.01,Independence High School,"1350 7th Avenue, San Francisco, CA 94122",9-12,3.98 miles,3
Census Tract 260.01,Census Tract 260.01,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,4.0 miles,8
Census Tract 260.01,Census Tract 260.01,Westmoor High School,"131 Westmoor Avenue, Daly City, CA 94015",9-12,4.02 miles,7
Census Tract 260.01,Census Tract 260.01,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,4.6 miles,Compare
Census Tract 260.02,Census Tract 260.02,Jordan (June) School For Equity,"325 La Grande Avenue, San Francisco, CA 94112",9-12,0.44 miles,3
Census Tract 260.02,Census Tract 260.02,Balboa High School,"1000 Cayuga Avenue, San Francisco, CA 94112",9-12,0.8 miles,7
Census Tract 260.02,Census Tract 260.02,Gateway To College,"50 Phelan Avenue Science Hall, Room 127, San Francisco, CA 94112",9-12,0.85 miles,Compare
Census Tract 260.02,Census Tract 260.02,Burton (Phillip And Sala) Academic High School,"400 Mansell Street, San Francisco, CA 94134",9-12,1.23 miles,5
Census Tract 260.02,Census Tract 260.02,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,1.49 miles,4
Census Tract 260.02,Census Tract 260.02,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,1.88 miles,10
Census Tract 260.02,Census Tract 260.02,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,1.88 miles,5
Census Tract 260.02,Census Tract 260.02,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,1.93 miles,Compare
