stcnttr,score,dist,,
,,
Census Tract 101,8,0.77 miles
Census Tract 1011,4,2.5 miles
Census Tract 1012,0,1.74 miles
Census Tract 102,8,0.14 miles
Census Tract 1021,0,1.19 miles
Census Tract 1022.02,0,0.98 miles
Census Tract 1022.03,4,0.87 miles
Census Tract 103,8,0.47 miles
Census Tract 1031,8,2.09 miles
Census Tract 1032,0,0.6 miles
Census Tract 104,8,0.91 miles
Census Tract 1041.01,8,0.79 miles
Census Tract 1041.02,0,0.7 miles
Census Tract 1042,8,2.03 miles
Census Tract 1043,0,0
Census Tract 105,8,1.49 miles
Census Tract 1050,3,3.6 miles
Census Tract 106,8,1.01 miles
Census Tract 1060.01,3,0.49 miles
Census Tract 1060.02,0,2.2 miles
Census Tract 107,8,0.84 miles
Census Tract 1070,3,2.49 miles
Census Tract 108,8,0.72 miles
Census Tract 1081,3,0.71 miles
Census Tract 1082,6,0.21 miles
Census Tract 109,8,0.43 miles
Census Tract 1090.01,0,1.17 miles
Census Tract 1090.02,0,1.04 miles
Census Tract 110,8,0.65 miles
Census Tract 1101,0,0.85 miles
Census Tract 1102,0,2.44 miles
Census Tract 111,0,0.76 miles
Census Tract 1110,0,1.25 miles
Census Tract 112,8,0.95 miles
Census Tract 1121,5,0.73 miles
Census Tract 1122.01,5,0.49 miles
Census Tract 1122.02,5,1.75 miles
Census Tract 113,8,1.01 miles
Census Tract 1130,0,0
Census Tract 1141,9,1.3 miles
Census Tract 1142,9,2.09 miles
Census Tract 1150,9,1.69 miles
Census Tract 1160,9,0.3 miles
Census Tract 117,0,1.05 miles
Census Tract 1170,9,0.76 miles
Census Tract 118,8,1.21 miles
Census Tract 1181,9,1.48 miles
Census Tract 119.01,0,0.87 miles
Census Tract 119.02,0,1.02 miles
Census Tract 1191,9,1.29 miles
Census Tract 1192.01,8,0.53 miles
Census Tract 1192.02,0,0.98 miles
Census Tract 120,0,0.57 miles
Census Tract 1200,9,0.32 miles
Census Tract 121,0,0.84 miles
Census Tract 1211,0,0.82 miles
Census Tract 1212,0,1.61 miles
Census Tract 122.01,0,0.55 miles
Census Tract 122.02,0,0.4 miles
Census Tract 1220,0,2.09 miles
Census Tract 123.01,0,0.74 miles
Census Tract 123.02,0,0.76 miles
Census Tract 1230,9,3.49 miles
Census Tract 124.01,0,0.44 miles
Census Tract 124.02,0,0.27 miles
Census Tract 1241,9,2.24 miles
Census Tract 1242,9,4.26 miles
Census Tract 125.01,0,0.57 miles
Census Tract 125.02,0,0.6 miles
Census Tract 1250,9,1.09 miles
Census Tract 126.01,8,0.82 miles
Census Tract 126.02,8,0.62 miles
Census Tract 1261,9,1.52 miles
Census Tract 1262,9,0.71 miles
Census Tract 127,8,1.15 miles
Census Tract 1270,9,2.17 miles
Census Tract 128,8,1.04 miles
Census Tract 1281,9,1.41 miles
Census Tract 1282,9,1.07 miles
Census Tract 129.01,8,0.21 miles
Census Tract 129.02,8,0.48 miles
Census Tract 1290,9,1.76 miles
Census Tract 130,8,0.56 miles
Census Tract 1302.01,9,3.61 miles
Census Tract 1302.02,9,2.8 miles
Census Tract 131.01,8,0.66 miles
Census Tract 131.02,8,0.76 miles
