GEOID,Census_Tract,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_hispanic,percent_other_races,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_aff_1,rent_aff_2,rent_aff_3,percent_airbnb_all_rentals,percent_airbnb_active_rentals
6075010100,Census Tract 101,3.5346779,0,3.9616325,56.9,3.3,52,4.1,51.6,3.8,35.4,0,11.0258489,7.3517999,13.5794084,258,89,41.1626541,18.8490898,27.03497,13.42281879,19.13875598
6041101100,Census Tract 1011,6.0763738,0,5.7890542,60.9,4.5,9,1.6,92.6,0,5.8,0,11.8112952,7.7527648,13.6141285,75,24,52.1428571,20,8.705343,7.407407407,10.52631579
6041101200,Census Tract 1012,6.0044306,0,5.6175895,35.3,5.1,23.7,7.5,77.9,0,5.1,0,11.3660367,7.669962,13.2655975,12,0,66.6666667,32.8947368,8.705343,20,20
6075010200,Census Tract 102,3.7436422,0,3.8129092,80.6,2,21.1,2.5,82.6,0,11.1,0.2,11.6783213,7.6676261,13.9529219,470,67,31.9172722,13.7506987,27.03497,15.61938959,17.75510204
6041102100,Census Tract 1021,6.2064412,0,5.7653295,60.1,3,13.2,6.1,87.7,0.8,3.8,0.3,11.5157016,7.5438029,13.4531049,11,0,45.8536585,13.1707317,8.705343,21.42857143,21.42857143
6041102202,Census Tract 1022.02,6.1755726,0,5.6865058,48.2,7.3,17.5,1.8,80.8,1.2,5.3,0,11.2138184,7.4905294,13.3133143,61,61,42.5253991,26.2699565,8.705343,4.6875,100
6041102203,Census Tract 1022.03,6.1051263,0,5.6515429,29.2,5.6,30.3,10.6,60.6,4.8,5.1,0.1,11.0680592,7.3105502,13.216946,52,26,53.7390029,31.5249267,8.705343,8.771929825,16.12903226
6075010300,Census Tract 103,3.4218162,0,3.6803828,54.8,2,34.9,10.2,61.6,0,33.5,0,11.3819166,7.4821189,13.9098202,365,76,39.5272489,20.4202232,27.03497,10.53921569,12.95180723
6041103100,Census Tract 1031,6.3155379,0,5.7421972,49.6,1.6,6.5,4.6,88.9,1.4,3.8,0.4,11.5769983,7.6511202,13.4251311,142,17,23.9690722,8.5051546,8.705343,8.387096774,9.420289855
6041103200,Census Tract 1032,6.1245184,0,5.5798213,46.6,3.2,14.8,4.9,75.7,1.8,8.9,0.6,11.2099808,7.4061034,13.2855021,122,83,61.1404435,39.0707497,8.705343,7.575757576,20.40816327
6075010400,Census Tract 104,3.1605191,0,3.8250596,70.7,5.5,27.6,2,61.9,0,28.1,0.1,11.5456637,7.7102052,13.8718909,248,0,40.1248581,15.2099886,27.03497,15.93220339,15.93220339
