Median rent,,2010,2011,2012,2013,2014,2015,2016,,,,,
,Alameda,1188,1228,1265,1289,1325,1367,1432,,,,,
,Contra Costa,1270,1309,1340,1365,1395,1426,1506,,,,,
,Marin,1523,1571,1598,1628,1659,1678,1764,,,,,
,San Francisco,1328,1388,1447,1488,1533,1558,1632,,,,,
,San Mateo,1443,1508,1541,1602,1664,1728,1830,,,,,
,,,,,,,,,,,,,
Median HV,,2010,2011,2012,2013,2014,2015,2016,,,,,
,Alameda,590900,558300,514900,493800,509300,543100,593500,,,,,
,Contra Costa,548200,490200,433800,404000,417400,439900,472900,,,,,
,Marin,868000,840900,810700,781900,785100,815100,859400,,,,,
,San Francisco,785200,767300,750900,744600,765700,799600,858800,,,,,
,San Mateo,784000,763100,734100,722200,736800,776300,845300,,,,,
,,,,,,,,,,,,,
Rent Burdened,,2010,2011,2012,2013,2014,2015,2016,,,,,
,Alameda,49.38324349,49.32112772,49.66742977,49.94218203,50.24741531,50.0035949,49.6265771,,,,,
,Contra Costa,52.52582829,52.76744621,53.04527248,45.69962191,52.93091784,52.29816588,51.26231953,,,,,
,Marin,52.10906045,53.02002839,53.03132455,53.18665832,53.49730178,51.51126063,49.80366492,,,,,
,San Francisco,42.60651271,42.80808403,43.88707734,43.81228591,43.18337004,41.71442056,40.65136207,,,,,
,San Mateo,45.2690018,46.39868617,47.74136318,48.53043786,48.39456725,48.96837867,48.1756136,,,,,
